Name,Value,Fee,From,Direction
"Julien Fabri","€600k","End of loanJun 30, 2017","Olympique Marseille","Left","Bourg-en-Bresse"
"Lucas Ocampos","€5.50m","End of loanJun 30, 2017","Olympique Marseille","Left","AC Milan"
"Stéphane Sparagna","€1.00m","End of loanJun 30, 2017","Olympique Marseille","Left","AJ Auxerre"
"Baptiste Aloé","€900k","End of loanJun 30, 2017","Olympique Marseille","Left","Valenciennes FC"
"Gaël Andonian","€250k","End of loanJun 30, 2017","Olympique Marseille","Left","PAE Veria"
"Karim Rekik","€2.50m","€2.50m","Olympique Marseille","Joined","Hertha BSC"
"Tomas Hubocan","€1.50m","Loan fee:€250k","Olympique Marseille","Joined","Trabzonspor"
"Rod Fanni","€250k","free transfer","Olympique Marseille","Joined","Montreal"
"Bill Tuiloma","€150k","free transfer","Olympique Marseille","Joined","Portland"
"Antoine Rabillard","€150k","free transfer","Olympique Marseille","Joined","AS Béziers"
"Baptiste Aloé","€900k","free transfer","Olympique Marseille","Joined","Valenciennes FC"
