Name,Value,Fee,From,Direction
"Didier Lamkel Zé","€2.50m","loan transfer","FC Metz","Left","Royal Antwerp"
"Aboubacar Lô","€100k","-","FC Metz","Left","FC Metz B"
"William Mikelbrencis","€200k","-","FC Metz","Left","FC Metz B"
"Jean-Armel Kana-Biyik","€500k","-","FC Metz","Left","Without Club"
"Jemerson","€2.50m","-","FC Metz","Left","Without Club"
"Ousmane Ba","-","-","FC Metz","Left","FC Metz B"
"Mathieu Cachbach","-","-","FC Metz","Left","FC Metz B"
"Amine Bassi","€1.80m","End of loanApr 26, 2022","FC Metz","Left","Barnsley"
"Cheikh Sabaly","€1.00m","End of loanJun 30, 2021","FC Metz","Left","Pau FC"
"Georges Mikautadze","€1.20m","End of loanJun 30, 2021","FC Metz","Left","RFC Seraing"
"Pape Matar Sarr","€10.00m","€16.90m","FC Metz","Joined","Tottenham"
"Victorien Angban","€3.50m","€4.10m","FC Metz","Joined","FK Sochi"
"Mamadou Fofana","€2.80m","€2.00m","FC Metz","Joined","Amiens SC"
"Thierry Ambrose","€2.00m","€500k","FC Metz","Joined","KV Oostende"
"John Boye","€800k","free transfer","FC Metz","Joined","Al-Fayha"
"Aboubacar Lô","€100k","loan transfer","FC Metz","Joined","SO Cholet"
"Vágner Dias","€3.50m","loan transfer","FC Metz","Joined","FC Sion"
"Georges Mikautadze","€1.20m","loan transfer","FC Metz","Joined","RFC Seraing"
"Youssef Maziz","€800k","loan transfer","FC Metz","Joined","RFC Seraing"
"Amadou N'Diaye","€200k","loan transfer","FC Metz","Joined","Le Mans FC"
"Mathieu Cachbach","-","loan transfer","FC Metz","Joined","RFC Seraing"
"Cheikh Sabaly","€1.00m","loan transfer","FC Metz","Joined","Quevilly Rouen"
"Lamine Gueye","€3.00m","loan transfer","FC Metz","Joined","Paris FC"
"Amine Bassi","€1.80m","loan transfer","FC Metz","Joined","Barnsley"
"Warren Tchimbembé","€1.20m","loan transfer","FC Metz","Joined","CD Mirandés"
"Sofiane Alakouch","€1.50m","loan transfer","FC Metz","Joined","Lausanne-Sport"
"Jemerson","€2.00m","-","FC Metz","Joined","Without Club"
"Ernest Boahene","€150k","-","FC Metz","Joined","Without Club"
"Aaron Leya Iseka","€2.50m","End of loanJun 30, 2021","FC Metz","Joined","Toulouse"
"Falaye Sacko","€2.50m","Loan fee:€300k","AS Saint-Étienne","Left","Vit. Guimarães"
"Ignacio Ramírez","€2.50m","Loan fee:€300k","AS Saint-Étienne","Left","Liverpool FC"
"Paul Bernardoni","€10.00m","loan transfer","AS Saint-Étienne","Left","Angers SCO"
"Sada Thioub","€2.50m","loan transfer","AS Saint-Étienne","Left","Angers SCO"
"Enzo Crivelli","€2.00m","loan transfer","AS Saint-Étienne","Left","Basaksehir"
"Bakary Sako","€400k","-","AS Saint-Étienne","Left","Without Club"
"Joris Gnagnon","€1.20m","-","AS Saint-Étienne","Left","Without Club"
"Eliaquim Mangala","€2.00m","-","AS Saint-Étienne","Left","Without Club"
"Edmilson Correia","-","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Jean-Philippe Krasso","€900k","End of loanJun 30, 2021","AS Saint-Étienne","Left","Le Mans FC"
"Assane Dioussé","€1.10m","End of loanJun 30, 2021","AS Saint-Étienne","Left","Ankaragücü"
"Alexandros Katranis","€1.60m","End of loanJun 30, 2021","AS Saint-Étienne","Left","Hatayspor"
"Lamine Ghezali","€400k","End of loanJun 30, 2021","AS Saint-Étienne","Left","Lyon La Duchère"
"Mickaël Nadé","€500k","End of loanJun 30, 2021","AS Saint-Étienne","Left","Quevilly Rouen"
"Stefan Bajic","€2.00m","free transfer","AS Saint-Étienne","Joined","Pau FC"
"Alexandros Katranis","€1.60m","free transfer","AS Saint-Étienne","Joined","Piast Gliwice"
"Alpha Sissoko","€800k","free transfer","AS Saint-Étienne","Joined","Quevilly Rouen"
"Mathieu Debuchy","€1.50m","free transfer","AS Saint-Étienne","Joined","Valenciennes FC"
"Jessy Moulin","€600k","free transfer","AS Saint-Étienne","Joined","Troyes"
"Kévin Monnet-Paquet","€900k","free transfer","AS Saint-Étienne","Joined","Aris Limassol"
"Charles Abi","€3.00m","loan transfer","AS Saint-Étienne","Joined","Guingamp"
"Jean-Philippe Krasso","€1.20m","loan transfer","AS Saint-Étienne","Joined","AC Ajaccio"
"Joris Gnagnon","€1.00m","-","AS Saint-Étienne","Joined","Retired"
"Lamine Ghezali","€400k","-","AS Saint-Étienne","Joined","Saint-Étienne B"
"Rayan Souici","-","-","AS Saint-Étienne","Joined","Without Club"
"Ignacio Ramírez","€2.50m","End of loanJan 18, 2022","AS Saint-Étienne","Joined","Liverpool FC"
"Anthony Modeste","€1.50m","End of loanJun 30, 2021","AS Saint-Étienne","Joined","1.FC Köln"
"Pape Abou Cissé","€6.00m","End of loanJun 30, 2021","AS Saint-Étienne","Joined","Olympiacos"
"Panagiotis Retsos","€4.50m","End of loanJun 30, 2021","AS Saint-Étienne","Joined","Leverkusen"
"Fransérgio","€5.00m","€4.75m","FC Girondins Bordeaux","Left","Braga"
"Stian Gregersen","€1.00m","€2.00m","FC Girondins Bordeaux","Left","Molde FK"
"Jean Onana","€900k","€2.00m","FC Girondins Bordeaux","Left","Lille"
"Anel Ahmedhodzic","€7.00m","Loan fee:€1.00m","FC Girondins Bordeaux","Left","Malmö"
"Issouf Sissokho","€400k","€300k","FC Girondins Bordeaux","Left","Derby Acad."
"M'Baye Niang","€4.50m","free transfer","FC Girondins Bordeaux","Left","Stade Rennais"
"Marcelo","€1.50m","free transfer","FC Girondins Bordeaux","Left","Lyon"
"Yacine Adli","€9.00m","loan transfer","FC Girondins Bordeaux","Left","AC Milan"
"Timothée Pembélé","€4.00m","loan transfer","FC Girondins Bordeaux","Left","PSG"
"Javairô Dilrosun","€9.00m","loan transfer","FC Girondins Bordeaux","Left","Hertha BSC"
"Ricardo Mangas","€1.00m","loan transfer","FC Girondins Bordeaux","Left","Boavista"
"Josuha Guilavogui","€4.00m","loan transfer","FC Girondins Bordeaux","Left","Wolfsburg"
"Alberth Elis","€4.00m","loan transfer","FC Girondins Bordeaux","Left","Boavista"
"Gideon Mensah","€2.50m","loan transfer","FC Girondins Bordeaux","Left","Salzburg"
"Tidiane Malbec","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Abdeldjalil Medioub","€350k","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Davy Rouyard","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Danylo Ignatenko","€700k","loan transfer","FC Girondins Bordeaux","Left","Shakhtar D."
"Josh Maja","€5.00m","End of loanJun 30, 2021","FC Girondins Bordeaux","Left","Fulham"
"Rubén Pardo","€2.40m","End of loanJun 30, 2021","FC Girondins Bordeaux","Left","CD Leganés"
"Alexandre Lauray","€400k","End of loanJun 30, 2021","FC Girondins Bordeaux","Left","FC Villefranche"
"Thomas Carrique","€200k","End of loanJun 30, 2021","FC Girondins Bordeaux","Left","Calahorra"
"Raoul Bellanova","€1.00m","End of loanJun 30, 2021","FC Girondins Bordeaux","Left","Atalanta"
"Yacine Adli","€9.00m","€9.00m","FC Girondins Bordeaux","Joined","AC Milan"
"Toma Bašić","€9.00m","€7.10m","FC Girondins Bordeaux","Joined","Lazio"
"Samuel Kalu","€5.50m","€3.00m","FC Girondins Bordeaux","Joined","Watford"
"Thomas Carrique","€200k","free transfer","FC Girondins Bordeaux","Joined","Celta Vigo B"
"Loïc Bessilé","€200k","free transfer","FC Girondins Bordeaux","Joined","R Charleroi SC"
"Nicolas de Préville","€3.00m","free transfer","FC Girondins Bordeaux","Joined","FC Metz"
"Rubén Pardo","€2.40m","free transfer","FC Girondins Bordeaux","Joined","CD Leganés"
"Alexandre Lauray","€400k","free transfer","FC Girondins Bordeaux","Joined","Le Mans FC"
"Youssouf Sabaly","€6.50m","free transfer","FC Girondins Bordeaux","Joined","Real Betis"
"Vukasin Jovanovic","€1.50m","free transfer","FC Girondins Bordeaux","Joined","Apol. Limassol"
"Josh Maja","€4.00m","loan transfer","FC Girondins Bordeaux","Joined","Stoke City"
"Raoul Bellanova","€1.00m","loan transfer","FC Girondins Bordeaux","Joined","Cagliari"
"Otávio","€6.00m","loan transfer","FC Girondins Bordeaux","Joined","Atlético-MG"
"Laurent Koscielny","€3.00m","-","FC Girondins Bordeaux","Joined","Retired"
"Loris Benito","€3.00m","-","FC Girondins Bordeaux","Joined","Without Club"
"Maxime Poundjé","€2.00m","-","FC Girondins Bordeaux","Joined","Without Club"
"Hatem Ben Arfa","€3.00m","-","FC Girondins Bordeaux","Joined","Without Club"
"Jean Michaël Seri","€4.00m","End of loanJun 30, 2021","FC Girondins Bordeaux","Joined","Fulham"
"Billal Brahimi","€1.20m","€1.30m","Angers SCO","Left","Stade Reims"
"Marin Jakolis","€1.20m","€500k","Angers SCO","Left","Hajduk Split"
"Azzedine Ounahi","€350k","€70k","Angers SCO","Left","US Avranches"
"Batista Mendy","€500k","free transfer","Angers SCO","Left","FC Nantes"
"Nabil Bentaleb","€1.80m","-","Angers SCO","Left","Without Club"
"Oussama Falouh","€50k","-","Angers SCO","Left","Angers SCO B"
"Waniss Taïbi","€300k","-","Angers SCO","Left","Angers SCO B"
"Kevin Bemanga","€250k","End of loanJun 30, 2021","Angers SCO","Left","FC Sion U21"
"Rayan Aït-Nouri","€18.00m","End of loanJun 30, 2021","Angers SCO","Left","Wolves"
"Casimir Ninga","€1.30m","End of loanJun 30, 2021","Angers SCO","Left","Sivasspor"
"Anthony Mandréa","€400k","End of loanJun 30, 2021","Angers SCO","Left","SO Cholet"
"Rayan Aït-Nouri","€18.00m","€11.10m","Angers SCO","Joined","Wolves"
"Billal Brahimi","€1.20m","€7.00m","Angers SCO","Joined","Nice"
"Ludovic Butelle","€250k","free transfer","Angers SCO","Joined","Red Star FC"
"Thomas Touré","€500k","free transfer","Angers SCO","Joined","RE Virton"
"Lassana Coulibaly","€2.00m","free transfer","Angers SCO","Joined","Salernitana"
"Mateo Pavlovic","€1.00m","free transfer","Angers SCO","Joined","Amiens SC"
"Antonin Bobichon","€2.20m","loan transfer","Angers SCO","Joined","AS Nancy"
"Loïs Diony","€2.50m","loan transfer","Angers SCO","Joined","Red Star"
"Oussama Falouh","€50k","loan transfer","Angers SCO","Joined","US Avranches"
"Farid El Melali","€1.20m","loan transfer","Angers SCO","Joined","Pau FC"
"Sada Thioub","€2.50m","loan transfer","Angers SCO","Joined","Saint-Étienne"
"Paul Bernardoni","€10.00m","loan transfer","Angers SCO","Joined","Saint-Étienne"
"Rachid Alioui","€2.50m","loan transfer","Angers SCO","Joined","KV Kortrijk"
"Kevin Bemanga","€250k","-","Angers SCO","Joined","Angers SCO B"
"Yassin Fortuné","€200k","End of loanJun 30, 2021","Angers SCO","Joined","FC Sion"
"Ibrahim Amadou","€5.00m","End of loanJun 30, 2021","Angers SCO","Joined","Sevilla FC"
"Jens Cajuste","€5.00m","€10.00m","Stade Reims","Left","Midtjylland"
"Azor Matusiwa","€5.00m","€4.00m","Stade Reims","Left","FC Groningen"
"Mitchell van Bergen","€2.40m","€2.00m","Stade Reims","Left","Heerenveen"
"Rafik Guitane","€2.50m","free transfer","Stade Reims","Left","Stade Rennais"
"Nicolas Penneteau","€200k","free transfer","Stade Reims","Left","R Charleroi SC"
"Andreaw Gravillon","€6.00m","loan transfer","Stade Reims","Left","Inter"
"Maxime Busi","€3.00m","loan transfer","Stade Reims","Left","Parma"
"Bradley Locko","-","-","Stade Reims","Left","Stade Reims B"
"N'Dri Koffi","-","-","Stade Reims","Left","Stade Reims B"
"Fodé Doucouré","€500k","-","Stade Reims","Left","Stade Reims B"
"Moustapha Mbow","€50k","-","Stade Reims","Left","Stade Reims B"
"Hugo Ekitiké","€600k","-","Stade Reims","Left","Stade Reims B"
"Alexis Flips","€525k","-","Stade Reims","Left","Stade Reims B"
"Billal Brahimi","€1.20m","-","Stade Reims","Left","Stade Reims B"
"Dion Lopy","€800k","-","Stade Reims","Left","Stade Reims B"
"Nicolas Lemaître","€450k","End of loanJun 30, 2021","Stade Reims","Left","Quevilly Rouen"
"Anastasios Donis","€1.00m","End of loanJun 30, 2021","Stade Reims","Left","VVV-Venlo"
"Sambou Sissoko","€450k","End of loanJun 30, 2021","Stade Reims","Left","Quevilly Rouen"
"Timothé Nkada","€300k","End of loanMay 2, 2021","Stade Reims","Left","Aalborg BK"
"Logan Costa","€400k","End of loanJun 30, 2021","Stade Reims","Left","Le Mans FC"
"Ilan Kebbal","€1.00m","End of loanJun 30, 2021","Stade Reims","Left","USL Dunkerque"
"Boulaye Dia","€14.00m","€12.00m","Stade Reims","Joined","Villarreal"
"Billal Brahimi","€1.20m","€1.30m","Stade Reims","Joined","Angers SCO"
"Xavier Chavalerin","€4.00m","€1.00m","Stade Reims","Joined","Troyes"
"Logan Costa","€400k","€500k","Stade Reims","Joined","Toulouse"
"Mathieu Cafaro","€5.00m","€250k","Stade Reims","Joined","Standard Liège"
"Nicolas Lemaître","€450k","free transfer","Stade Reims","Joined","Quevilly Rouen"
"Moustapha Mbow","€150k","loan transfer","Stade Reims","Joined","Nîmes Olympique"
"Rafik Guitane","€2.50m","loan transfer","Stade Reims","Joined","Marítimo"
"Timothé Nkada","€300k","loan transfer","Stade Reims","Joined","US Orléans"
"Dario Maresic","€3.00m","loan transfer","Stade Reims","Joined","LASK"
"Thibault De Smet","€800k","loan transfer","Stade Reims","Joined","Beerschot VA"
"Kaj Sierhuis","€3.00m","loan transfer","Stade Reims","Joined","Heracles Almelo"
"Dereck Kutesa","€2.00m","loan transfer","Stade Reims","Joined","Zulte Waregem"
"Fodé Doucouré","€700k","loan transfer","Stade Reims","Joined","Red Star FC"
"N'Dri Koffi","€1.20m","loan transfer","Stade Reims","Joined","Paços Ferreira"
"Gerzino Nyamsi","€3.50m","€1.50m","RC Strasbourg Alsace","Left","Stade Rennais"
"Ismaël Doukouré","€1.50m","€1.50m","RC Strasbourg Alsace","Left","Valenciennes FC"
"Karol Fila","€1.50m","€1.50m","RC Strasbourg Alsace","Left","Lechia Gdansk"
"Maxime Le Marchand","€1.50m","free transfer","RC Strasbourg Alsace","Left","Fulham"
"Kévin Gameiro","€3.00m","free transfer","RC Strasbourg Alsace","Left","Valencia"
"Lucas Perrin","€1.80m","loan transfer","RC Strasbourg Alsace","Left","Marseille"
"Jean-Eudes Aholou","€4.00m","loan transfer","RC Strasbourg Alsace","Left","Monaco"
"Frédéric Guilbert","€6.00m","loan transfer","RC Strasbourg Alsace","Left","Aston Villa"
"Nordine Kandil","-","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Maxime Bastian","-","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Alexandre Pierre","€150k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Adrien Lebeau","€150k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Marvin Senaya","€150k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Moïse Sahi Dion","-","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Tchamba","€400k","End of loanJun 30, 2021","RC Strasbourg Alsace","Left","Strømsgodset"
"Mohamed Simakan","€18.00m","€15.00m","RC Strasbourg Alsace","Joined","Leipzig"
"Stefan Mitrovic","€2.20m","€1.00m","RC Strasbourg Alsace","Joined","Getafe"
"Ismaïl Aaneba","€900k","free transfer","RC Strasbourg Alsace","Joined","FC Sochaux"
"Adrien Lebeau","€150k","free transfer","RC Strasbourg Alsace","Joined","W. Mannheim"
"Lionel Carole","€2.00m","free transfer","RC Strasbourg Alsace","Joined","Kayserispor"
"Idriss Saadi","€800k","free transfer","RC Strasbourg Alsace","Joined","SC Bastia"
"Kévin Zohi","€2.00m","free transfer","RC Strasbourg Alsace","Joined","Vizela"
"Tchamba","€400k","free transfer","RC Strasbourg Alsace","Joined","SönderjyskE"
"Marvin Senaya","€150k","loan transfer","RC Strasbourg Alsace","Joined","FC Sochaux"
"Alexandre Pierre","€150k","loan transfer","RC Strasbourg Alsace","Joined","FC Annecy"
"Maxime Bastian","-","loan transfer","RC Strasbourg Alsace","Joined","FC Annecy"
"Lebo Mothiba","€2.00m","loan transfer","RC Strasbourg Alsace","Joined","Troyes"
"Mahamé Siby","€300k","loan transfer","RC Strasbourg Alsace","Joined","Paris FC"
"Bingourou Kamara","€800k","loan transfer","RC Strasbourg Alsace","Joined","R Charleroi SC"
"Mehdi Chahiri","€1.50m","loan transfer","RC Strasbourg Alsace","Joined","SM Caen"
"Lamine Koné","€1.20m","-","RC Strasbourg Alsace","Joined","Without Club"
"Frédéric Guilbert","€6.00m","End of loanJun 30, 2021","RC Strasbourg Alsace","Joined","Aston Villa"
"Jean-Eudes Aholou","€4.00m","End of loanJun 30, 2021","RC Strasbourg Alsace","Joined","Monaco"
"Ibrahima Koné","€1.80m","€4.00m","FC Lorient","Left","Sarpsborg 08"
"Moritz Jenz","€600k","€3.50m","FC Lorient","Left","Lausanne-Sport"
"Igor Silva","€1.20m","€2.50m","FC Lorient","Left","NK Osijek"
"Taofeek Ismaheel","€700k","€500k","FC Lorient","Left","Fredrikstad"
"Léo Pétrot","-","free transfer","FC Lorient","Left","Andrézieux"
"Bonke Innocent","€800k","free transfer","FC Lorient","Left","Malmö"
"Sambou Soumano","€400k","-","FC Lorient","Left","Lorient B"
"Dango Ouattara","-","-","FC Lorient","Left","Lorient B"
"Loris Mouyokolo","€200k","-","FC Lorient","Left","Lorient B"
"Umut Bozok","€1.20m","End of loanJun 30, 2021","FC Lorient","Left","Troyes"
"Julien Ponceau","€1.20m","End of loanJun 30, 2021","FC Lorient","Left","Rodez AF"
"Quentin Lecoeuche","€550k","End of loanJun 30, 2021","FC Lorient","Left","AC Ajaccio"
"Maxime Pattier","€300k","End of loanJun 30, 2021","FC Lorient","Left","Stade Briochin"
"Samuel Loric","€400k","End of loanJun 30, 2021","FC Lorient","Left","US Avranches"
"Yoane Wissa","€10.00m","€10.00m","FC Lorient","Joined","Brentford"
"Sylvain Marveaux","€500k","free transfer","FC Lorient","Joined","Charlotte Ind."
"Quentin Lecoeuche","€550k","free transfer","FC Lorient","Joined","Valenciennes FC"
"Franklin Wadja","€900k","free transfer","FC Lorient","Joined","SM Caen"
"Maxime Pattier","€300k","free transfer","FC Lorient","Joined","Stade Briochin"
"Thomas Fontaine","€800k","free transfer","FC Lorient","Joined","AS Nancy"
"Adrian Grbic","€4.00m","loan transfer","FC Lorient","Joined","Vitesse"
"Julien Ponceau","€1.20m","loan transfer","FC Lorient","Joined","Nîmes Olympique"
"Pierre-Yves Hamel","€3.00m","loan transfer","FC Lorient","Joined","Clermont Foot"
"Loris Mouyokolo","€200k","loan transfer","FC Lorient","Joined","Bourg-en-Bresse"
"Umut Bozok","€1.20m","loan transfer","FC Lorient","Joined","Kasimpasa"
"Taofeek Ismaheel","€700k","loan transfer","FC Lorient","Joined","Vålerenga"
"Jonathan Delaplace","-","-","FC Lorient","Joined","Without Club"
"Matthieu Saunier","€250k","-","FC Lorient","Joined","Retired"
"Tiago Ilori","€1.00m","End of loanJun 30, 2021","FC Lorient","Joined","Sporting"
"Andreaw Gravillon","€6.00m","End of loanJun 30, 2021","FC Lorient","Joined","Inter"
"Trevoh Chalobah","€3.50m","End of loanJun 30, 2021","FC Lorient","Joined","Chelsea U23"
"Lilian Brassier","€2.50m","€1.75m","Stade Brestois 29","Left","Stade Rennais"
"Romain Del Castillo","€4.50m","€1.50m","Stade Brestois 29","Left","Stade Rennais"
"Marco Bizot","€5.00m","€1.00m","Stade Brestois 29","Left","AZ Alkmaar"
"Jere Uronen","€2.50m","€1.00m","Stade Brestois 29","Left","Genk"
"Youcef Belaïli","€1.50m","free transfer","Stade Brestois 29","Left","Qatar SC"
"Noé Sow","-","free transfer","Stade Brestois 29","Left","Plabennec"
"Grégoire Coudert","€200k","free transfer","Stade Brestois 29","Left","Amiens SC"
"Martín Satriano","€2.50m","loan transfer","Stade Brestois 29","Left","Inter"
