Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Iván Cuéllar","esESP","GK","Leganés","esLa Liga","34","1984","33.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mickaël Cuisance","frFRA","MF","Gladbach","deBundesliga","18","1999","3.1","0","8","1","12.5","2.58","0.32","0.00","0.00","22.0","1","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Matheus Cunha","brBRA","FW,MF","RB Leipzig","deBundesliga","19","1999","9.5","2","34","10","29.4","3.59","1.06","0.06","0.20","17.4","0","0","0","4.2","4.2","0.12","-2.2","-2.2",
"Greg Cunningham","ieIRL","DF","Cardiff City","engPremier League","27","1991","7.0","0","2","1","50.0","0.29","0.14","0.00","0.00","18.7","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Patrick Cutrone","itITA","FW","Milan","itSerie A","20","1998","16.2","3","34","14","41.2","2.10","0.86","0.09","0.21","15.7","0","0","0","3.0","3.0","0.09","0.0","0.0",
"Wylan Cyprien","frFRA","MF","Nice","frLigue 1","23","1995","26.2","4","51","19","37.3","1.94","0.72","0.06","0.16","27.7","17","1","2","5.2","3.6","0.07","-1.2","-0.6",
"Marco D'Alessandro","itITA","DF","Udinese","itSerie A","27","1991","16.6","0","11","2","18.2","0.66","0.12","0.00","0.00","19.1","0","0","0","1.1","1.0","0.09","-1.1","-1.0",
"Danilo D'Ambrosio","itITA","DF","Inter","itSerie A","29","1988","28.7","2","16","5","31.3","0.56","0.17","0.13","0.40","10.4","0","0","0","2.6","2.6","0.16","-0.6","-0.6",
"Damien Da Silva","frFRA","DF","Rennes","frLigue 1","30","1988","31.9","2","14","3","21.4","0.44","0.09","0.14","0.67","9.7","0","0","0","2.1","2.1","0.15","-0.1","-0.1",
"Kouadio-Yves Dabila","ciCIV","DF","Lille","frLigue 1","21","1997","8.7","0","2","0","0.0","0.23","0.00","0.00","","12.3","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Abdoulaye Dabo","frFRA","FW","Nantes","frLigue 1","17","2001","1.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Bryan Dabo","bfBFA","MF,DF","Fiorentina","itSerie A","26","1992","9.2","1","9","4","44.4","0.97","0.43","0.11","0.25","19.7","0","0","0","1.0","1.0","0.11","0.0","0.0",
"Christoph Daferner","deGER","FW","Freiburg","deBundesliga","20","1998","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Colin Dagba","frFRA","DF,MF","Paris S-G","frLigue 1","19","1998","10.2","0","3","2","66.7","0.29","0.20","0.00","0.00","23.8","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Mahmoud Dahoud","deGER","MF","Dortmund","deBundesliga","22","1996","7.7","1","11","2","18.2","1.42","0.26","0.09","0.50","23.7","0","0","0","1.2","1.2","0.11","-0.2","-0.2",
"Leon Dajaku","deGER","DF,MF","Stuttgart","deBundesliga","17","2001","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Felipe dal Belo","brBRA","DF","SPAL","itSerie A","34","1984","26.2","3","14","8","57.1","0.53","0.30","0.21","0.38","8.9","0","0","0","2.6","2.6","0.19","+0.4","+0.4",
"Nicola Dalmonte","itITA","FW,MF","Genoa","itSerie A","20","1997","0.5","0","3","0","0.0","6.14","0.00","0.00","","14.2","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
"Diogo Dalot","ptPOR","DF,FW","Manchester Utd","engPremier League","19","1999","11.3","0","15","0","0.0","1.33","0.00","0.00","","24.3","0","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Matty Daly","engENG","MF","Huddersfield","engPremier League","17","2001","0.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Vitalie Damașcan","mdMDA","MF","Torino","itSerie A","19","1999","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Loïc Damour","frFRA","MF","Cardiff City","engPremier League","27","1991","0.3","0","1","0","0.0","3.91","0.00","0.00","","27.4","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Charlie Daniels","engENG","DF","Bournemouth","engPremier League","31","1986","17.6","1","12","3","25.0","0.68","0.17","0.08","0.33","20.0","0","0","0","0.4","0.4","0.04","+0.6","+0.6",
"Danilo","brBRA","DF","Manchester City","engPremier League","27","1991","9.0","1","14","3","21.4","1.56","0.33","0.07","0.33","25.3","0","0","0","0.4","0.4","0.03","+0.6","+0.6",
"Scott Dann","engENG","DF","Crystal Palace","engPremier League","31","1987","7.4","0","6","1","16.7","0.81","0.14","0.00","0.00","12.6","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Kevin Danso","atAUT","DF","Augsburg","deBundesliga","19","1998","13.9","1","10","5","50.0","0.72","0.36","0.10","0.20","13.1","0","0","0","0.5","0.5","0.05","+0.5","+0.5",
"Dante","brBRA","DF","Nice","frLigue 1","34","1983","35.8","1","21","3","14.3","0.59","0.08","0.05","0.33","11.1","0","0","0","1.8","1.8","0.08","-0.8","-0.8",
"Palkó Dárdai","huHUN","FW,MF","Hertha BSC","deBundesliga","19","1999","1.3","0","1","0","0.0","0.80","0.00","0.00","","13.0","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Sergi Darder","esESP","MF","Espanyol","esLa Liga","24","1993","30.1","4","55","16","29.1","1.83","0.53","0.07","0.25","23.5","1","0","0","2.9","2.9","0.05","+1.1","+1.1",
"Vladimír Darida","czCZE","MF","Hertha BSC","deBundesliga","27","1990","4.2","0","9","4","44.4","2.15","0.96","0.00","0.00","18.4","0","0","0","1.0","1.0","0.11","-1.0","-1.0",
"Matteo Darmian","itITA","DF","Manchester Utd","engPremier League","28","1989","4.9","0","1","1","100.0","0.20","0.20","0.00","0.00","25.1","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Alphonso Davies","caCAN","MF,FW","Bayern Munich","deBundesliga","17","2000","0.9","1","2","1","50.0","2.25","1.13","0.50","1.00","19.0","0","0","0","0.1","0.1","0.06","+0.9","+0.9",
"Ben Davies","wlsWAL","DF","Tottenham","engPremier League","25","1993","20.5","0","14","1","7.1","0.68","0.05","0.00","0.00","20.9","0","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Tom Davies","engENG","MF","Everton","engPremier League","20","1998","10.9","0","7","2","28.6","0.64","0.18","0.00","0.00","18.9","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Steven Davis","nirNIR","MF","Southampton","engPremier League","33","1985","1.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kevin De Bruyne","beBEL","MF","Manchester City","engPremier League","27","1991","10.8","2","31","12","38.7","2.86","1.11","0.06","0.17","23.9","3","0","0","1.4","1.4","0.04","+0.6","+0.6",
"Bobby De Cordova-Reid","jmJAM","FW,MF","Cardiff City","engPremier League","25","1993","15.8","5","26","8","30.8","1.64","0.51","0.15","0.50","15.8","1","1","1","3.8","3.0","0.12","+1.2","+1.0",
"Sebastien De Maio","frFRA","DF","Udinese","itSerie A","31","1987","13.0","1","12","2","16.7","0.92","0.15","0.08","0.50","16.3","0","0","0","0.9","0.9","0.07","+0.1","+0.1",
"Sebastien De Maio","frFRA","DF","Bologna","itSerie A","31","1987","5.5","0","2","0","0.0","0.37","0.00","0.00","","10.1","0","0","0","0.2","0.2","0.12","-0.2","-0.2",
"Rodrigo De Paul","arARG","MF,FW","Udinese","itSerie A","24","1994","35.4","9","82","26","31.7","2.31","0.73","0.07","0.23","26.0","7","3","6","9.7","5.0","0.06","-0.7","+1.0",
"Daniele De Rossi","itITA","MF","Roma","itSerie A","35","1983","14.1","1","5","1","20.0","0.35","0.07","0.20","1.00","19.2","0","0","0","1.5","1.5","0.30","-0.5","-0.5",
"Mattia De Sciglio","itITA","DF","Juventus","itSerie A","25","1992","19.4","0","7","0","0.0","0.36","0.00","0.00","","25.9","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Lorenzo De Silvestri","itITA","DF","Torino","itSerie A","30","1988","26.8","2","29","9","31.0","1.08","0.34","0.07","0.22","13.7","0","0","0","2.8","2.8","0.10","-0.8","-0.8",
"Lucas Deaux","frFRA","MF","Guingamp","frLigue 1","29","1988","13.2","3","18","7","38.9","1.36","0.53","0.17","0.43","19.8","0","0","0","1.9","1.9","0.11","+1.1","+1.1",
"Mathieu Debuchy","frFRA","DF","Saint-Étienne","frLigue 1","33","1985","21.6","4","14","9","64.3","0.65","0.42","0.29","0.44","10.0","0","0","0","2.3","2.3","0.16","+1.7","+1.7",
"Troy Deeney","engENG","FW","Watford","engPremier League","30","1988","28.3","9","63","29","46.0","2.23","1.03","0.13","0.28","14.8","0","1","1","9.5","8.7","0.14","-0.5","-0.7",
"Jermain Defoe","engENG","FW","Bournemouth","engPremier League","35","1982","0.3","0","1","1","100.0","3.60","3.60","0.00","0.00","8.8","0","0","0","0.1","0.1","0.12","-0.1","-0.1",
"Steven Defour","beBEL","MF","Burnley","engPremier League","30","1988","5.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Grégoire Defrel","mqMTQ","FW,MF","Sampdoria","itSerie A","27","1991","26.0","11","47","23","48.9","1.81","0.88","0.23","0.48","15.7","0","0","0","8.1","8.1","0.17","+2.9","+2.9",
"Alessandro Deiola","itITA","MF","Cagliari","itSerie A","22","1995","5.0","0","8","2","25.0","1.60","0.40","0.00","0.00","20.6","0","0","0","0.8","0.8","0.10","-0.8","-0.8",
"Alessandro Deiola","itITA","MF,FW","Parma","itSerie A","22","1995","6.1","0","7","1","14.3","1.16","0.17","0.00","0.00","24.5","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Romain Del Castillo","frFRA","MF,FW","Rennes","frLigue 1","22","1996","14.9","0","20","6","30.0","1.34","0.40","0.00","0.00","21.5","0","0","0","0.8","0.8","0.04","-0.8","-0.8",
"Thomas Delaney","dkDEN","MF","Dortmund","deBundesliga","26","1991","25.4","3","33","10","30.3","1.30","0.39","0.09","0.30","17.0","1","0","0","2.4","2.4","0.07","+0.6","+0.6",
"Moisés Delgado","esESP","DF","Valladolid","esLa Liga","24","1994","3.0","0","2","0","0.0","0.67","0.00","0.00","","32.5","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Cristian Dell'Orco","itITA","DF","Empoli","itSerie A","24","1994","11.5","1","4","1","25.0","0.35","0.09","0.25","1.00","11.0","0","0","0","0.8","0.8","0.19","+0.2","+0.2",
"Cristian Dell'Orco","itITA","DF","Sassuolo","itSerie A","24","1994","1.2","0","1","0","0.0","0.82","0.00","0.00","","11.1","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Andy Delort","dzALG","FW","Montpellier","frLigue 1","26","1991","34.6","14","116","33","28.4","3.35","0.95","0.09","0.33","20.2","5","3","3","15.2","12.8","0.11","-1.2","-1.8",
"Fabian Delph","engENG","DF","Manchester City","engPremier League","28","1989","8.1","0","4","3","75.0","0.50","0.37","0.00","0.00","27.0","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Mousa Dembélé","beBEL","MF","Tottenham","engPremier League","31","1987","5.7","0","1","0","0.0","0.17","0.00","0.00","","27.5","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Moussa Dembélé","frFRA","FW","Lyon","frLigue 1","22","1996","22.4","15","88","37","42.0","3.93","1.65","0.16","0.38","12.9","1","1","2","17.1","15.5","0.18","-2.1","-1.5",
"Ousmane Dembélé","frFRA","FW,MF","Barcelona","esLa Liga","21","1997","18.5","8","39","17","43.6","2.11","0.92","0.21","0.47","16.5","0","0","0","3.8","3.8","0.10","+4.2","+4.2",
"Jessy Deminguet","frFRA","MF","Caen","frLigue 1","20","1998","14.1","0","7","1","14.3","0.50","0.07","0.00","0.00","25.0","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Merih Demiral","trTUR","DF","Sassuolo","itSerie A","20","1998","14.0","2","7","3","42.9","0.50","0.21","0.29","0.67","9.3","0","0","0","0.8","0.8","0.11","+1.2","+1.2",
"Kerem Demirbay","deGER","MF","Hoffenheim","deBundesliga","25","1993","22.4","4","59","16","27.1","2.63","0.71","0.07","0.25","23.2","4","0","0","4.5","4.5","0.08","-0.5","-0.5",
"Diego Demme","deGER","MF","RB Leipzig","deBundesliga","26","1991","22.8","0","10","3","30.0","0.44","0.13","0.00","0.00","21.5","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Jason Denayer","beBEL","DF","Lyon","frLigue 1","23","1995","30.6","2","15","6","40.0","0.49","0.20","0.13","0.33","11.6","0","0","0","1.7","1.7","0.11","+0.3","+0.3",
"Leander Dendoncker","beBEL","MF","Wolves","engPremier League","23","1995","16.3","2","17","10","58.8","1.04","0.61","0.12","0.20","14.1","0","0","0","3.4","3.4","0.21","-1.4","-1.4",
"Fabio Depaoli","itITA","DF","Chievo","itSerie A","21","1997","27.4","0","12","3","25.0","0.44","0.11","0.00","0.00","16.1","0","0","0","1.5","1.5","0.13","-1.5","-1.5",
"Laurent Depoitre","beBEL","FW","Huddersfield","engPremier League","29","1988","11.9","0","30","6","20.0","2.53","0.51","0.00","0.00","12.9","0","0","0","2.5","2.5","0.08","-2.5","-2.5",
"Clément Depres","frFRA","FW","Nîmes","frLigue 1","23","1994","4.9","4","28","9","32.1","5.71","1.84","0.14","0.44","14.0","0","0","0","2.3","2.3","0.08","+1.7","+1.7",
"Kiril Despodov","bgBUL","FW,MF","Cagliari","itSerie A","21","1996","1.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Daniele Dessena","itITA","MF","Cagliari","itSerie A","31","1987","3.9","0","5","2","40.0","1.28","0.51","0.00","0.00","14.3","0","0","0","0.5","0.5","0.09","-0.5","-0.5",
"Mattia Destro","itITA","FW","Bologna","itSerie A","27","1991","5.5","4","12","7","58.3","2.19","1.28","0.33","0.57","11.3","0","0","0","2.4","2.4","0.20","+1.6","+1.6",
"Gerard Deulofeu","esESP","FW,MF","Watford","engPremier League","24","1994","23.0","10","60","22","36.7","2.61","0.96","0.17","0.45","16.9","6","0","0","8.0","8.0","0.13","+2.0","+2.0",
"Jacopo Dezi","itITA","MF","Parma","itSerie A","26","1992","1.0","0","2","1","50.0","2.00","1.00","0.00","0.00","20.7","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Federico Di Francesco","itITA","FW,MF","Sassuolo","itSerie A","24","1994","11.9","2","25","11","44.0","2.09","0.92","0.08","0.18","15.7","0","0","0","3.2","3.2","0.13","-1.2","-1.2",
"Antonio Di Gaudio","itITA","FW","Parma","itSerie A","28","1989","7.8","0","13","2","15.4","1.67","0.26","0.00","0.00","16.6","0","0","0","1.4","1.4","0.11","-1.4","-1.4",
"Giovanni Di Lorenzo","itITA","DF,FW","Empoli","itSerie A","24","1993","37.0","5","21","9","42.9","0.57","0.24","0.24","0.56","13.2","0","0","0","3.6","3.3","0.16","+1.4","+1.7",
"Ángel Di María","arARG","FW,MF","Paris S-G","frLigue 1","30","1988","25.8","12","97","30","30.9","3.76","1.16","0.12","0.40","19.6","9","0","0","8.7","8.7","0.09","+3.3","+3.3",
"Franco Di Santo","arARG","FW","Rayo Vallecano","esLa Liga","29","1989","1.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Franco Di Santo","arARG","MF,FW","Schalke 04","deBundesliga","29","1989","2.7","0","3","1","33.3","1.10","0.37","0.00","0.00","15.8","0","0","0","0.2","0.2","0.07","-0.2","-0.2",
"Boulaye Dia","snSEN","FW","Reims","frLigue 1","21","1996","8.3","3","20","9","45.0","2.41","1.08","0.15","0.33","14.3","0","0","0","3.7","3.7","0.18","-0.7","-0.7",
"Fousseni Diabaté","mlMLI","FW","Leicester City","engPremier League","22","1995","0.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Moussa Diaby","frFRA","MF,DF","Paris S-G","frLigue 1","19","1999","12.7","2","23","7","30.4","1.81","0.55","0.09","0.29","17.7","0","0","0","2.2","2.2","0.10","-0.2","-0.2",
"Adama Diakhaby","frFRA","FW,MF","Huddersfield","engPremier League","22","1996","6.1","0","7","3","42.9","1.14","0.49","0.00","0.00","19.1","0","0","0","0.6","0.6","0.09","-0.6","-0.6",
"Mouctar Diakhaby","gnGUI","DF","Valencia","esLa Liga","21","1996","17.6","2","11","4","36.4","0.63","0.23","0.18","0.50","8.7","0","0","0","1.3","1.3","0.12","+0.7","+0.7",
"Bafodé Diakité","frFRA","DF","Toulouse","frLigue 1","17","2001","7.0","1","1","1","100.0","0.14","0.14","1.00","1.00","16.6","0","0","0","0.1","0.1","0.06","+0.9","+0.9",
"Abdou Diallo","snSEN","DF","Dortmund","deBundesliga","22","1996","26.4","1","10","4","40.0","0.38","0.15","0.10","0.25","8.1","0","0","0","1.6","1.6","0.26","-0.6","-0.6",
"Abdoulaye Diallo","snSEN","GK","Rennes","frLigue 1","26","1992","5.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mustapha Diallo","snSEN","MF","Nîmes","frLigue 1","32","1986","5.1","0","6","0","0.0","1.19","0.00","0.00","","18.9","0","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Mohamed Diamé","snSEN","MF","Newcastle Utd","engPremier League","31","1987","24.1","0","20","3","15.0","0.83","0.12","0.00","0.00","23.5","0","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Grady Diangana","cdCOD","MF,FW","West Ham","engPremier League","20","1998","6.8","0","10","3","30.0","1.48","0.44","0.00","0.00","16.8","0","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Lassana Diarra","frFRA","MF","Paris S-G","frLigue 1","33","1985","1.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Amadou Diawara","gnGUI","MF","Napoli","itSerie A","21","1997","7.3","0","10","1","10.0","1.36","0.14","0.00","0.00","24.8","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Brahim Díaz","maMAR","FW","Real Madrid","esLa Liga","18","1999","4.2","1","7","5","71.4","1.68","1.20","0.14","0.20","12.5","0","0","0","1.2","1.2","0.17","-0.2","-0.2",
"Javier Díaz","esESP","GK","Sevilla","esLa Liga","21","1997","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Bakaye Dibassy","mlMLI","DF","Amiens","frLigue 1","28","1989","32.7","1","11","2","18.2","0.34","0.06","0.09","0.50","17.3","0","0","0","1.3","1.3","0.12","-0.3","-0.3",
"Lorenzo Dickmann","itITA","DF,MF","SPAL","itSerie A","21","1996","1.9","0","1","0","0.0","0.51","0.00","0.00","","3.3","0","0","0","0.1","0.1","0.12","-0.1","-0.1",
"Daniel Didavi","deGER","MF,FW","Stuttgart","deBundesliga","28","1990","10.6","2","24","9","37.5","2.26","0.85","0.08","0.22","20.6","2","0","0","1.9","1.9","0.08","+0.1","+0.1",
"Étienne Didot","frFRA","MF","Guingamp","frLigue 1","35","1983","23.4","1","24","2","8.3","1.03","0.09","0.04","0.50","26.9","1","0","0","0.8","0.8","0.03","+0.2","+0.2",
"Adrián Diéguez","esESP","DF","Huesca","esLa Liga","22","1996","8.3","0","1","1","100.0","0.12","0.12","0.00","0.00","5.4","0","0","0","0.1","0.1","0.13","-0.1","-0.1",
"Eric Dier","engENG","MF,DF","Tottenham","engPremier League","24","1994","16.7","3","9","3","33.3","0.54","0.18","0.33","1.00","12.0","0","0","0","1.0","1.0","0.11","+2.0","+2.0",
"Tim Dierßen","deGER","MF","Hannover 96","deBundesliga","22","1996","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lucas Digne","frFRA","DF","Everton","engPremier League","25","1993","32.9","4","34","10","29.4","1.03","0.30","0.12","0.40","25.0","11","0","0","1.3","1.3","0.04","+2.7","+2.7",
"Mitchell Dijks","nlNED","DF","Bologna","itSerie A","25","1993","22.5","1","9","4","44.4","0.40","0.18","0.11","0.25","21.6","0","0","0","0.4","0.4","0.04","+0.6","+0.6",
"Javairô Dilrosun","nlNED","FW,MF","Hertha BSC","deBundesliga","20","1998","10.0","2","11","5","45.5","1.10","0.50","0.18","0.40","19.9","0","0","0","0.5","0.5","0.04","+1.5","+1.5",
"Federico Dimarco","itITA","DF,MF","Parma","itSerie A","20","1997","9.9","1","13","3","23.1","1.31","0.30","0.08","0.33","22.2","0","0","0","0.5","0.5","0.03","+0.5","+0.5",
"Stole Dimitrievski","mkMKD","GK","Rayo Vallecano","esLa Liga","24","1993","21.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Tristan Dingomé","cmCMR","MF","Reims","frLigue 1","27","1991","14.9","1","8","3","37.5","0.54","0.20","0.13","0.33","20.4","0","0","0","0.4","0.4","0.05","+0.6","+0.6",
"Ismaël Diomandé","ciCIV","MF,DF","Caen","frLigue 1","25","1992","14.4","0","9","0","0.0","0.63","0.00","0.00","","32.6","0","0","0","0.2","0.2","0.02","-0.2","-0.2",
"Federico Dionisi","itITA","FW,MF","Frosinone","itSerie A","31","1987","2.3","1","11","3","27.3","4.85","1.32","0.09","0.33","17.8","0","0","0","1.0","1.0","0.09","0.0","0.0",
"Lois Diony","frFRA","FW","Saint-Étienne","frLigue 1","25","1992","17.7","5","39","18","46.2","2.21","1.02","0.13","0.28","11.4","0","0","0","8.1","8.1","0.21","-3.1","-3.1",
"Issa Diop","frFRA","DF","West Ham","engPremier League","21","1997","33.0","1","12","4","33.3","0.36","0.12","0.08","0.25","10.1","0","0","0","1.2","1.2","0.10","-0.2","-0.2",
"Papakouli Diop","snSEN","MF","Eibar","esLa Liga","32","1986","26.1","1","36","5","13.9","1.38","0.19","0.03","0.20","17.5","0","0","0","2.5","2.5","0.07","-1.5","-1.5",
"Sofiane Diop","maMAR","MF,FW","Monaco","frLigue 1","18","2000","8.2","0","10","2","20.0","1.21","0.24","0.00","0.00","22.8","0","0","0","0.6","0.6","0.06","-0.6","-0.6",
"Assane Dioussé","snSEN","MF","Chievo","itSerie A","20","1997","9.9","0","7","2","28.6","0.71","0.20","0.00","0.00","30.2","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Assane Dioussé","snSEN","MF","Saint-Étienne","frLigue 1","20","1997","2.4","0","2","0","0.0","0.83","0.00","0.00","","30.2","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Axel Disasi","frFRA","DF","Reims","frLigue 1","20","1998","1.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
