Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2.0","40","36","40","0","0","0","40","0","0","","0","","23","93","50","0","0","0","0","0","19","0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","32.1","2442","78","462","1614","392","39","2442","44","29","65.9","15","34.1","1374","5783","2712","28","43","3","40","40","1629","64",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","13.1","357","13","37","141","186","43","357","26","13","50.0","13","50.0","191","1169","574","26","13","11","43","17","269","67",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","28.1","1737","62","441","1041","273","21","1737","26","19","73.1","7","26.9","857","4119","1616","25","28","3","35","12","1079","31",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","18.6","1026","20","193","662","179","10","1026","31","21","67.7","10","32.3","648","3001","1393","20","18","1","23","30","713","30",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1.0","41","37","41","0","0","0","41","0","0","","0","","9","27","15","0","0","0","0","0","7","0",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","10.0","775","24","172","401","212","3","775","8","8","100.0","0","0.0","396","1953","982","14","19","1","11","5","416","24",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","1.5","74","12","50","23","1","1","74","0","0","","0","","27","107","22","0","0","0","0","0","29","0",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","24.0","1723","35","339","743","649","79","1723","32","16","50.0","16","50.0","848","4039","2112","47","36","14","26","13","1072","242",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","0.1","4","1","1","1","2","0","4","0","0","","0","","3","4","2","0","0","0","0","0","3","1",
"Philip Ankhrah","ghGHA","MF","Hellas Verona","itSerie A","17","2002","0.1","2","0","0","1","1","0","2","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Cristian Ansaldi","arARG","DF,FW","Torino","itSerie A","33","1986","21.6","1205","60","305","481","435","31","1204","54","28","51.9","26","48.1","645","4747","2501","91","58","8","26","17","658","93",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","24","1996","30.1","2415","359","1273","1068","84","28","2415","17","13","76.5","4","23.5","1480","8920","4907","24","16","5","24","25","1663","12",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","30","1990","21.9","783","11","34","299","460","120","783","87","43","49.4","44","50.6","473","2817","1365","59","31","25","78","49","638","177",
"José Antonio Miranda","gqEQG","MF,DF","Getafe","esLa Liga","22","1998","0.3","20","0","0","7","13","2","20","0","0","","0","","14","106","46","2","1","0","1","2","17","3",
"Valentin Antov","bgBUL","DF","Bologna","itSerie A","19","2000","2.6","154","30","101","51","2","0","154","1","1","100.0","0","0.0","72","361","204","1","1","0","2","0","93","0",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","22","1998","19.8","1248","8","78","654","535","119","1246","81","46","56.8","35","43.2","840","4632","2483","74","54","33","54","34","1021","172",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","18","2002","19.2","1046","11","126","530","406","48","1046","61","34","55.7","27","44.3","619","3823","1947","56","29","14","61","27","701","92",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","28","1992","17.3","1060","51","345","465","257","12","1060","20","12","60.0","8","40.0","470","2285","1196","34","29","3","19","17","514","80",
"Aritz Arambarri","esESP","DF","Real Sociedad","esLa Liga","22","1998","0.3","23","0","4","16","3","1","23","1","0","0.0","1","100.0","10","30","11","0","0","0","1","0","12","0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","24","1995","33.1","1443","39","223","814","436","31","1443","56","36","64.3","20","35.7","716","4368","1745","38","44","9","39","31","721","50",
