Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Joshua Kimmich","deGER","DF","Bayern Munich","deBundesliga","22","1995","25.9","1822","2169","84.0","35601","10321","695","750","92.7","836","967","86.5","272","394","69.0","10","6.2","6.3","+3.8","53","137","52","22","176",
"Presnel Kimpembe","frFRA","DF","Paris S-G","frLigue 1","21","1995","26.9","1783","1875","95.1","30578","9566","767","794","96.6","784","802","97.8","154","185","83.2","0","0.2","0.6","-0.2","4","60","4","1","108",
"Andy King","wlsWAL","MF","Leicester City","engPremier League","28","1988","6.0","167","221","75.6","2628","676","76","93","81.7","66","81","81.5","12","25","48.0","0","0.1","0.1","-0.1","2","17","0","0","13",
"Andy King","wlsWAL","MF","Swansea City","engPremier League","28","1988","7.9","296","359","82.5","5218","1314","132","145","91.0","125","148","84.5","28","50","56.0","1","0.2","0.5","+0.8","4","35","5","2","38",
"Joshua King","noNOR","FW,MF","Bournemouth","engPremier League","25","1992","27.3","514","730","70.4","7926","1895","275","363","75.8","197","272","72.4","25","42","59.5","3","4.9","3.6","-1.9","38","48","34","4","83",
"Simon Kjær","dkDEN","DF","Sevilla","esLa Liga","28","1989","17.5","666","790","84.3","13037","4594","254","277","91.7","307","354","86.7","94","140","67.1","0","0.1","0.1","-0.1","2","34","2","0","34",
"Davy Klaassen","nlNED","MF,FW","Everton","engPremier League","24","1993","2.8","80","103","77.7","1223","282","39","47","83.0","32","40","80.0","4","5","80.0","0","0.1","0.1","-0.1","2","5","2","0","11",
"Felix Klaus","deGER","MF,FW","Hannover 96","deBundesliga","24","1992","22.0","490","709","69.1","7426","2512","259","335","77.3","153","209","73.2","36","83","43.4","2","2.1","3.3","-0.1","32","26","14","4","55",
"Ragnar Klavan","eeEST","DF","Liverpool","engPremier League","31","1985","16.1","1097","1218","90.1","21335","7588","331","353","93.8","659","697","94.5","95","143","66.4","0","0.2","0.6","-0.2","4","61","6","0","73",
"Tim Kleindienst","deGER","FW,DF","Freiburg","deBundesliga","21","1995","12.6","203","369","55.0","2956","775","109","184","59.2","67","110","60.9","10","27","37.0","3","2.3","1.4","+0.7","8","19","10","1","31",
"Lukas Klostermann","deGER","DF","RB Leipzig","deBundesliga","21","1996","24.3","922","1201","76.8","13349","4720","562","662","84.9","292","385","75.8","44","76","57.9","0","1.6","1.8","-1.6","15","56","12","6","80",
"Lukas Klünter","deGER","DF,FW","Köln","deBundesliga","21","1996","14.8","347","526","66.0","5866","2312","165","208","79.3","145","204","71.1","31","71","43.7","0","1.2","1.1","-1.2","13","20","12","7","41",
"Robin Knoche","deGER","DF","Wolfsburg","deBundesliga","25","1992","23.4","1215","1432","84.8","27253","10359","268","311","86.2","700","779","89.9","240","321","74.8","2","0.4","0.6","+1.6","3","75","2","0","91",
"Anthony Knockaert","frFRA","MF,FW","Brighton","engPremier League","25","1991","26.9","851","1103","77.2","12977","3196","475","544","87.3","270","337","80.1","61","126","48.4","1","3.2","3.1","-2.2","32","45","30","5","124",
"Törles Knöll","deGER","MF,FW","Hamburger SV","deBundesliga","19","1997","0.2","1","3","33.3","5","0","1","3","33.3","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Robin Koch","deGER","MF,DF","Freiburg","deBundesliga","21","1996","21.3","758","977","77.6","15376","5209","222","280","79.3","424","485","87.4","101","182","55.5","1","1.0","0.9","0.0","6","53","2","0","36",
"Kenan Kodro","baBIH","FW,DF","Mainz 05","deBundesliga","23","1993","2.6","53","69","76.8","882","62","25","37","67.6","14","17","82.4","9","10","90.0","0","0.2","0.2","-0.2","4","2","2","0","4",
"Hervé Koffi","bfBFA","GK","Lille","frLigue 1","20","1996","4.0","88","125","70.4","2676","2198","9","9","100.0","46","46","100.0","32","67","47.8","0","0.0","0.0","0.0","0","3","0","0","0",
"Dominik Kohr","deGER","MF","Leverkusen","deBundesliga","23","1994","18.5","780","946","82.5","13086","3718","390","447","87.2","304","355","85.6","71","103","68.9","1","1.3","2.0","-0.3","18","82","12","0","116",
"Seybou Koita","neNIG","FW","Amiens","frLigue 1","23","1994","2.4","40","58","69.0","521","135","20","26","76.9","9","13","69.2","3","6","50.0","0","0.1","0.1","-0.1","2","2","2","0","7",
"Koke","esESP","MF","Atlético Madrid","esLa Liga","25","1992","30.6","1729","2153","80.3","28200","9343","901","989","91.1","547","652","83.9","189","349","54.2","4","6.7","6.5","-2.7","51","198","40","4","237",
"Aleksandar Kolarov","rsSRB","DF","Roma","itSerie A","31","1985","34.0","1996","2624","76.1","33119","11754","1005","1130","88.9","734","907","80.9","189","425","44.5","6","9.0","6.6","-3.0","80","140","60","26","178",
"Sead Kolašinac","baBIH","DF","Arsenal","engPremier League","24","1993","23.9","1203","1515","79.4","17835","5821","648","753","86.1","469","576","81.4","40","86","46.5","4","3.5","3.3","+0.5","19","69","19","6","105",
"Vincent Kompany","beBEL","DF","Manchester City","engPremier League","31","1986","15.5","1327","1434","92.5","24734","8914","506","534","94.8","671","709","94.6","129","164","78.7","1","0.5","0.6","+0.5","4","94","2","0","85",
"Ibrahima Konaté","frFRA","DF","RB Leipzig","deBundesliga","18","1999","13.6","527","651","81.0","9792","4235","209","239","87.4","264","303","87.1","47","100","47.0","0","0.5","0.4","-0.5","3","39","1","0","51",
"Moussa Konaté","snSEN","FW","Amiens","frLigue 1","24","1993","27.5","355","537","66.1","4763","805","214","300","71.3","97","136","71.3","18","42","42.9","1","1.5","1.7","-0.5","16","18","18","3","42",
"Geoffrey Kondogbia","cfCTA","MF","Valencia","esLa Liga","24","1993","29.0","1355","1559","86.9","24809","6908","589","653","90.2","567","630","90.0","173","222","77.9","4","2.7","1.5","+1.3","22","158","15","0","182",
"Bakary Koné","bfBFA","DF","Strasbourg","frLigue 1","29","1988","27.4","877","1030","85.1","18998","6959","236","264","89.4","471","512","92.0","158","226","69.9","0","0.0","0.3","0.0","1","40","5","1","51",
"Terence Kongolo","nlNED","DF","Huddersfield","engPremier League","23","1994","11.7","263","390","67.4","4459","2277","128","157","81.5","110","154","71.4","17","51","33.3","0","0.1","0.3","-0.1","3","32","3","2","36",
"Terence Kongolo","nlNED","DF","Monaco","frLigue 1","23","1994","2.9","118","155","76.1","1843","582","69","78","88.5","40","55","72.7","9","17","52.9","0","0.3","0.2","-0.3","1","9","4","3","7",
"Yevhen Konoplyanka","uaUKR","FW,MF","Schalke 04","deBundesliga","27","1989","17.4","331","503","65.8","5337","1165","187","234","79.9","110","165","66.7","30","76","39.5","4","4.6","3.7","-0.6","31","18","20","9","50",
"Julian Korb","deGER","DF,MF","Hannover 96","deBundesliga","25","1992","26.0","814","1199","67.9","14609","8368","344","427","80.6","376","516","72.9","78","177","44.1","1","1.6","2.7","-0.6","22","82","28","13","119",
"Laurent Koscielny","frFRA","DF","Arsenal","engPremier League","31","1985","24.7","1563","1765","88.6","31024","12028","523","574","91.1","841","910","92.4","185","241","76.8","0","0.4","0.7","-0.4","7","137","3","0","124",
"Filip Kostić","rsSRB","FW,MF","Hamburger SV","deBundesliga","24","1992","27.1","459","796","57.7","7436","2555","235","329","71.4","149","260","57.3","45","111","40.5","1","3.2","3.1","-2.2","29","30","29","19","59",
"Christian Kouakou","ciCIV","MF,FW","Caen","frLigue 1","26","1991","9.4","106","157","67.5","1432","453","69","85","81.2","27","45","60.0","4","13","30.8","1","0.4","0.5","+0.6","7","6","8","5","8",
"Rominigue Kouamé","mlMLI","DF,MF","Lille","frLigue 1","20","1996","2.2","119","139","85.6","1949","491","62","75","82.7","43","49","87.8","11","12","91.7","1","0.5","0.1","+0.5","6","6","2","1","10",
"Tomáš Koubek","czCZE","GK","Rennes","frLigue 1","24","1992","34.0","571","973","58.7","19917","16051","57","58","98.3","228","236","96.6","285","676","42.2","0","0.0","0.1","0.0","0","24","0","0","0",
"Kalidou Koulibaly","snSEN","DF","Napoli","itSerie A","26","1991","34.1","2730","2994","91.2","45681","19846","1308","1366","95.8","1178","1254","93.9","188","286","65.7","1","0.3","0.4","+0.7","8","156","1","0","197",
"Jules Koundé","frFRA","DF","Bordeaux","frLigue 1","18","1998","17.7","704","844","83.4","13655","5363","276","297","92.9","323","356","90.7","95","167","56.9","0","0.1","0.3","-0.1","3","52","3","0","63",
"Cheikhou Kouyaté","snSEN","MF","West Ham","engPremier League","27","1989","31.1","734","982","74.7","10437","2762","423","521","81.2","240","315","76.2","33","66","50.0","3","1.1","0.6","+1.9","16","56","7","3","66",
"Mateo Kovačić","hrCRO","MF","Real Madrid","esLa Liga","23","1994","11.0","742","797","93.1","12983","3579","319","336","94.9","334","348","96.0","72","83","86.7","1","0.4","0.6","+0.6","10","75","6","0","81",
"Maksym Koval","uaUKR","GK","La Coruña","esLa Liga","24","1992","1.3","32","48","66.7","1200","860","5","5","100.0","7","8","87.5","20","35","57.1","0","0.0","0.0","0.0","0","0","0","0","0",
"Dawid Kownacki","plPOL","FW","Sampdoria","itSerie A","20","1997","9.1","187","262","71.4","2440","355","120","144","83.3","53","76","69.7","7","15","46.7","2","1.0","0.8","+1.0","8","8","6","1","14",
"Vincent Koziello","frFRA","MF","Nice","frLigue 1","21","1995","9.0","557","593","93.9","9518","2251","266","283","94.0","231","239","96.7","48","51","94.1","0","0.3","0.5","-0.3","7","43","1","0","44",
"Vincent Koziello","frFRA","MF","Köln","deBundesliga","21","1995","8.8","470","520","90.4","7825","1666","233","252","92.5","192","207","92.8","32","37","86.5","0","0.4","0.5","-0.4","6","30","6","2","42",
"Thomas Kraft","deGER","GK","Hertha BSC","deBundesliga","29","1988","3.0","83","137","60.6","2896","2437","4","4","100.0","37","38","97.4","41","93","44.1","0","0.0","0.0","0.0","0","1","0","0","0",
"Emil Krafth","seSWE","DF","Bologna","itSerie A","22","1994","10.5","414","521","79.5","6886","2762","187","211","88.6","199","243","81.9","22","42","52.4","0","0.1","0.1","-0.1","3","31","3","2","45",
"Oliver Kragl","deGER","MF","Crotone","itSerie A","27","1990","1.1","27","38","71.1","503","227","11","13","84.6","12","18","66.7","4","6","66.7","0","0.3","0.2","-0.3","3","3","1","0","4",
"Andrej Kramarić","hrCRO","FW,MF","Hoffenheim","deBundesliga","26","1991","24.8","687","945","72.7","11446","3377","328","379","86.5","234","305","76.7","81","179","45.3","6","6.0","7.1","0.0","52","70","42","13","114",
"Christoph Kramer","deGER","MF","Gladbach","deBundesliga","26","1991","23.9","1340","1535","87.3","22143","5961","646","704","91.8","546","613","89.1","106","147","72.1","0","0.5","0.7","-0.5","13","136","10","0","142",
"Ladislav Krejčí","czCZE","MF,FW","Bologna","itSerie A","25","1992","4.4","119","158","75.3","1733","302","67","86","77.9","42","56","75.0","6","8","75.0","0","0.1","0.2","-0.1","3","5","3","1","9",
"Rene Krhin","siSVN","MF","Nantes","frLigue 1","27","1990","14.6","424","508","83.5","6711","2207","225","248","90.7","144","176","81.8","36","52","69.2","0","0.2","0.3","-0.2","2","30","5","0","36",
"Bojan Krkić","esESP","MF","Stoke City","engPremier League","26","1990","0.8","22","27","81.5","358","69","13","16","81.3","5","6","83.3","3","3","100.0","0","0.0","0.0","0.0","1","1","0","0","2",
"Bojan Krkić","esESP","FW,MF","Alavés","esLa Liga","26","1990","4.9","109","141","77.3","1865","397","52","60","86.7","38","49","77.6","12","18","66.7","0","0.1","0.2","-0.1","2","9","2","0","18",
"Michael Krohn-Dehli","dkDEN","MF","La Coruña","esLa Liga","34","1983","8.1","301","362","83.1","4858","1439","157","175","89.7","104","121","86.0","29","40","72.5","0","0.1","0.2","-0.1","1","33","6","1","42",
"Michael Krohn-Dehli","dkDEN","MF,FW","Sevilla","esLa Liga","34","1983","6.0","308","382","80.6","5019","1241","165","181","91.2","109","125","87.2","27","52","51.9","1","0.3","0.6","+0.7","3","25","8","0","37",
"Toni Kroos","deGER","MF","Real Madrid","esLa Liga","27","1990","25.1","1982","2235","88.7","36218","11344","920","965","95.3","736","810","90.9","277","377","73.5","7","5.7","6.1","+1.3","64","251","34","7","274",
"Max Kruse","deGER","FW","Werder Bremen","deBundesliga","29","1988","27.3","1035","1389","74.5","20160","3837","409","509","80.4","439","536","81.9","167","266","62.8","6","5.1","4.2","+0.9","58","91","38","9","140",
"Grzegorz Krychowiak","plPOL","MF","West Brom","engPremier League","27","1990","18.2","641","831","77.1","11378","3332","301","354","85.0","248","303","81.8","70","122","57.4","2","1.8","1.1","+0.2","13","76","9","1","101",
"Lukas Kübler","deGER","DF,MF","Freiburg","deBundesliga","24","1992","12.8","383","543","70.5","7572","3046","127","157","80.9","199","258","77.1","52","117","44.4","0","0.1","0.3","-0.1","3","24","7","2","41",
"Jasmin Kurtić","siSVN","MF,FW","SPAL","itSerie A","28","1989","16.0","494","678","72.9","8284","1776","223","280","79.6","196","264","74.2","48","76","63.2","0","0.8","1.0","-0.8","10","45","10","2","63",
"Jasmin Kurtić","siSVN","MF","Atalanta","itSerie A","28","1989","7.4","249","326","76.4","3416","676","156","181","86.2","60","86","69.8","13","23","56.5","0","0.3","0.6","-0.3","6","16","5","0","21",
"Layvin Kurzawa","frFRA","DF","Paris S-G","frLigue 1","24","1992","18.9","954","1128","84.6","10993","3229","614","680","90.3","202","255","79.2","18","37","48.6","1","1.6","1.6","-0.6","12","32","8","2","53",
"Filip Kusić","rsSRB","DF,MF","Köln","deBundesliga","21","1996","0.2","1","1","100.0","17","0","0","0","","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Zdravko Kuzmanović","rsSRB","MF","Málaga","esLa Liga","29","1987","5.3","304","342","88.9","5473","1691","134","142","94.4","128","141","90.8","35","46","76.1","1","0.6","0.3","+0.4","8","32","3","2","40",
"Han Kwang-song","kpPRK","FW","Cagliari","itSerie A","18","1998","3.1","41","55","74.5","670","128","23","30","76.7","14","18","77.8","4","6","66.7","0","0.1","0.2","-0.1","1","5","1","1","4",
"Enock Kwateng","frFRA","DF","Nantes","frLigue 1","20","1997","1.0","26","41","63.4","416","251","11","13","84.6","14","20","70.0","1","6","16.7","0","0.0","0.0","0.0","0","0","0","0","3",
"Alberto de la Bella","esESP","DF","Real Sociedad","esLa Liga","31","1985","17.0","852","1072","79.5","14170","4868","450","501","89.8","312","387","80.6","77","147","52.4","1","1.1","2.0","-0.1","16","56","29","22","59",
"Rajiv van La Parra","nlNED","FW,MF","Huddersfield","engPremier League","26","1991","23.7","517","725","71.3","7433","1525","298","362","82.3","169","232","72.8","24","55","43.6","0","0.9","1.2","-0.9","14","20","15","6","65",
"Brighton Labeau","mqMTQ","FW","Amiens","frLigue 1","21","1996","0.3","3","3","100.0","26","0","2","2","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Gaëtan Laborde","frFRA","FW","Bordeaux","frLigue 1","23","1994","10.6","158","254","62.2","1978","236","95","137","69.3","43","69","62.3","5","10","50.0","0","0.4","0.5","-0.4","8","5","4","1","16",
"Alexandre Lacazette","frFRA","FW","Arsenal","engPremier League","26","1991","24.5","558","744","75.0","6693","1185","369","450","82.0","120","170","70.6","13","25","52.0","4","4.4","4.0","-0.4","36","18","31","3","59",
"Mehdi Lacen","dzALG","MF","Málaga","esLa Liga","33","1984","11.7","408","486","84.0","7737","1986","179","204","87.7","158","176","89.8","61","75","81.3","0","0.4","0.4","-0.4","5","31","3","2","54",
"Mehdi Lacen","dzALG","MF","Getafe","esLa Liga","33","1984","0.7","22","27","81.5","297","133","13","13","100.0","8","10","80.0","0","2","0.0","0","0.0","0.0","0.0","0","4","0","0","4",
"Léo Lacroix","chSUI","DF","Saint-Étienne","frLigue 1","25","1992","8.6","303","355","85.4","6518","2482","88","100","88.0","163","178","91.6","51","70","72.9","0","0.1","0.0","-0.1","2","13","0","0","21",
"Freddie Ladapo","engENG","FW","Crystal Palace","engPremier League","24","1993","0.2","5","9","55.6","42","10","5","8","62.5","0","1","0.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Alban Lafont","ciCIV","GK","Toulouse","frLigue 1","18","1999","38.0","812","1266","64.1","29531","25138","66","66","100.0","326","331","98.5","420","860","48.8","0","0.0","0.2","0.0","1","45","1","0","3",
"Víctor Laguardia","esESP","DF","Alavés","esLa Liga","27","1989","17.0","384","565","68.0","8690","4359","104","129","80.6","198","234","84.6","81","194","41.8","0","0.2","0.5","-0.2","1","43","6","0","44",
"Konrad Laimer","atAUT","DF,MF","RB Leipzig","deBundesliga","20","1997","14.9","590","755","78.1","8947","3666","326","377","86.5","203","258","78.7","37","68","54.4","2","1.7","2.2","+0.3","13","60","13","5","86",
"Kenny Lala","mgMAD","DF","Strasbourg","frLigue 1","25","1991","30.3","1341","1765","76.0","27997","10083","526","586","89.8","499","650","76.8","295","454","65.0","4","2.0","2.5","+2.0","24","120","38","12","168",
"Adam Lallana","engENG","MF,FW","Liverpool","engPremier League","29","1988","2.7","192","229","83.8","2309","705","126","136","92.6","46","54","85.2","3","11","27.3","0","0.4","0.6","-0.4","7","18","11","2","33",
"Eugenio Lamanna","itITA","GK","Genoa","itSerie A","27","1989","1.0","16","23","69.6","671","586","1","1","100.0","5","5","100.0","10","16","62.5","0","0.0","0.0","0.0","0","1","0","0","0",
"Érik Lamela","arARG","FW,MF","Tottenham","engPremier League","25","1992","9.4","379","477","79.5","5766","1209","205","234","87.6","137","165","83.0","25","43","58.1","2","2.0","1.6","0.0","16","32","17","0","46",
"Ádám Lang","huHUN","DF","Dijon","frLigue 1","24","1993","2.6","103","121","85.1","2227","688","31","33","93.9","52","56","92.9","18","26","69.2","0","0.0","0.0","0.0","0","3","1","1","7",
"Sebastian Langkamp","deGER","DF","Hertha BSC","deBundesliga","29","1988","10.6","489","565","86.5","10904","4235","107","122","87.7","286","307","93.2","93","128","72.7","0","0.0","0.2","0.0","1","28","0","0","41",
